name,price
"Solar Outdoor String Lights, 6.5M 30LED Starfish Solar String Lights Waterproof for Garden (Blue)",£20.99
"Solar Stars Curtain Light, 12 Stars 138 LED Star Window Lights Solar Outdoor String Lights for Christmas Wedding Garden (Warm White)",£28.99
KINSUN 8-Pack Rechargeable Batteries 1.2V NiMH AA 1200mAh for Outdoor Solar Garden Lights Landscape Lights Path Lights,£13.99
Geemoo 6 Pack Solar Flickering Dancing Flame Lights Waterproof Solar Torch Lights for Outdoor Garden Patio Pathway Yard Driveway Decorative,£26.99
"ooklee [2 Pack] Outdoor Solar Garden Lights, Solar Fairy String Lights, 10M 100LED 8 Modes, Waterproof Silver Copper Wire Lights for Patio Christmas Outside Gazebo Festival Fence Decor (Cool White)",£14.99
ITICdecor Solar String Lights Outdoor 13ft 4M 20LED Solar Fairy Lights Waterproof Crystal Globe Solar Garden Lights for Party Hanging Fence Patio Christmas Tree Decoration (Warm White),£8.49
"[50 LED] Solar Garden Lights, Honey Bee Fairy String Lights，7M/24Ft 8 Mode Waterproof Outdoor/Indoor Garden Lighting for Flower Fence, Lawn, Patio, Festoon, Summer Party, Christmas，Holiday(Warm white)",£12.99
"blumfeldt Shinestone - Solar Spherical Lamp, Solar Lamp, Outdoor Lamp, Garden Lamp, Self-Sufficient: Solar Panel with 2m Cable, LED Lighting with 16 Colours, Material: PE, Ø 40 cm - Heather Grey",£47.99
"Outdoor Ball String Lights, 12M 100LED Bubble Crystal Ball Lights Globe String Fairy Lights Solar String Bulb Indoor Lights Garden Outdoor Lights for Party Tree Wedding (Green)",£35.99
"EONHUAYU Flower Solar String Lights, 7m 50LED Solar Fairy Lights Outdoor Blossom Solar Lighting Waterproof for Garden Lawn Patio (Red)",£21.99
"OneConcept Wetterfrosch LED Mood Light Yellow/Blue Preserve Jar Solar Battery for Home Garden or Balcony (2 Light Colours, Built-in Solar Panel with 1.2V / 600mAh Battery, Waterproof)",£9.99
"Solar String Lights Garden, 23ft 50 LED Star Fairy Lights Outdoor Solar Powered Led Star String Light Waterproof 8 Modes Decorative Light for Garden Patio Yard Home Wedding Party, Warm White",£8.49
"NEXVIN Solar Fairy Lights Outdoor, 72ft/22M 200 LED Solar Christmas Lights, 8 Modes Waterproof Solar String Lights for Garden, Party, Holiday, Xmas Tree Christmas Decoration (Warm White)",£16.90
"Bollengold Solar Fairy Lights Outdoor, 12M/39Ft 100LED Garden Lights Solar Powered Waterproof, 8 Modes Globe String Lights for Garden, Patio, Lawn, Yard, Wedding(Multi-Coloured)",£16.59
"Solar Lights Outdoor, 2x12M 120 LED Garden Solar Lights Waterproof Silver Wire Outdoor Fairy Lights for Gazebo, Christmas Decorations,Home, Trees, Terrace, Weddings, Party (Colorful)",£13.59
"Solar Ball String Lights, EONHUAYU 50 LEDs 23ft/7M Solar Grobe String Lights Waterproof with Two Lighting Modes for Garden Outdoor Party Christmas Decoration (Red)",£23.99
"Solar Outdoor String Lights, 6.35M 30LED Solar Moroccan String Lights Decorative Moroccan Orb String Lights for Indoor Garden Lawn Party Christmas Trees (Multicolor)",£27.99
"Solar Outdoor String Light, 3.5M 12LED Solar Moroccan String Lights Decorative Moroccan Orb String Lights for Indoor Garden Lawn Party Christmas Trees (White)",£23.99
"EONHUAYU Solar Outdoor String Lights, 66ft 200LED Solar Copper Wire String Lights Solar Christmas Lights 8 Modes Solar Fairy Lights, Waterproof Decorative String Lights for Patio, Garden (Red)",£21.99
"SUWIN 60FT Solar String Lights Outdoor, LED Garden String Lighting with Shatterproof Bulbs, Waterproof Globe G40 Solar Powered Festoon Light Outdoor for Backyard Porch Patio, Warm White",£45.99
"Solar String Lights Outdoor, 29.5FT IP65 Waterproof Garden String Lights, 8 Modes 20 LED Remote Control Outdoor String Lights Solar Powered for Christmas Party Festival Decoration(Warm White)",£19.99
"Bteng Solar Garden Lights, 60 LED Outdoor String Lights Solar Powered Waterproof Fairy Lights Decorative Crystal Ball Lighting for Halloween Christmas Tree Patio Home Wedding Parties Festival, 36ft",£16.95
XRongjm Solar Lights Outdoor Garden 6 Pack 8 LED Firefly Solar Lights Outdoor Waterproof Swaying Starburst Lights 8 Lighting Modes with Remote Control for Yard Patio Decorative(Warm White),£29.99
"Solar String Lights,23ft 50 LED Solar Star String Lights Outdoor Solar Powered Star Fairy Lights Waterproof 8 Modes Decorative Light for Garden Patio Yard Home Wedding Party Festival, Warm White",£10.99
"Koopower Solar String Lights, 50 LED Crystal Balls Waterproof Outdoor LED Fairy Light on 8M Green String (Warm White)",£14.88
"Garlocht Solar Lights Outdoor Garden Waterproof, 60LED 8M/27Ft Solar Fairy Lights, 8 Modes Solar Powered Garden Lights for Patio, Yard, Home, Wedding, Party Decoration (Warm White)",£12.99
"GIGALUMI 12Pack 6Color Solar Garden Lights/Path Lights, Stainless Steel Led Pathway Landscape Lighting for Patio, Yard, Garden",£19.99
"XYUE Solar Lights Outdoor, Solar Powered Pendant Lamp with Remote Control, Portable LED Solar Hanging Lights, 3W 240LM 3100K Warm White SMD LEDs, IP65 Waterproof, for Garden Yard Porch Patio",£26.99
"mafiti 2 Pack Coloured Solar String Lights Outdoor,12M/40Ft 120 LED 8 Modes Solar Garden Lights Waterproof Fairy Lights Copper Wire Decorative Lighting for Home,Garden,Patio,Yard,Party,Wedding",£11.04
Solar String Lights Outdoor Waterproof 50 Led Solar-Powered Garden Lights Warm White for Garden Patio,£14.98
"Yinuo Candle Fairy Lights Plug in,100 LED 15m Outdoor Fairy Lights Tree Lights for Indoor & Outdoor Warm White Decorations String Lights for Xmas Garden Bedroom & Party",£8.99
"SUWITU Solar Lights Outdoor Garden, 26Ft 50 LED Solar String Lights 8 Modes Waterproof Crystal Ball Outdoor Fairy Lights for Indoor Tree Patio Wedding Party Decoration (Warm White)",£13.99
"Solar Festoon Lights Outdoor,Shatterproof G40 LED Outdoor String Lights Waterproof with 25+2 Bulbs,30Ft/9.2M with 4 Modes Light for Outside Wedding Backyard Patio Garden Party Decoration (Warm White)",£28.99
"Garlocht Solar String Light Outdoor, 8m 60 LED Solar Star String Lights Waterproof,8 Modes Solar Powered Fairy Lights, Indoor/Outdoor Festival Lighting for Garden, Patio,Yard, Party (Warm White)",£9.98
"TTKTK Solar Garden Lights Outdoor with Remote, 60 LED 36ft Waterproof String Lights Solar Powered Crystal Ball Decorative Lights for Garden,Patio,Yard,Home,Chrismas Tree,Parties,Warm White, 36feet",£15.99
garden mile 10 x Solar Powered Colour Changing LED Stake Lights Garden Path Border Driveway Outdoor Path Solar Power Light Up Stakes for Garden Colour Lighting Garden Outdoor Lights Solar Lamp Post,£13.99
"Lezonic Solar Garden Lights Outdoor, 50 LED 7M/23Ft Solar String Lights Waterproof 8 Modes Indoor/Outdoor Fairy Lights for Garden, Patio, Yard, Home, Party, Wedding, Festival Decoration (Clear White)",£11.99
eBuzz Battery Operated Fairy Lights with 20 Red LEDs (Red),£3.49
"Fairy Lights Battery Operated, 2 Lighting Modes, 16ft 40LEDs Ball IP65 Globe String Light, Decoractive for Indoor Lighting, Bedroom, Wedding, Party, Christmas, Tree Decoration(Warm White)",£7.99
"Star Fairy Lights, 6M 40Pcs LED Battery Powered String Lights, Two Mode Monochrom and Shining Decoration Lightning for Christmas Wedding Birthday Valentine Party Bedroom Indoor&Outdoor (Warm White)",£7.99
"Bawoo Solar Lanterns, Waterproof 30 Outdoor Solar String Lights for Garden Outdoor Wedding Party",£16.99
"Mixtooltoys LED Firework Fairy Lights Led String Lights,120 LEDs Decorative Stake Starburst Lights for Parties,Home,Outdoor Decoration (2 Pack, Colored)",£17.99
"Solar String Lights Outdoor, 2 Pack 120 LED Solar Fairy Lights 46Ft Solar Garden Lights Waterproof 8 Modes Indoor/Outdoor Copper Wire Decorative Lighting for Home Patio Yard Party Wedding(Multicolour)",£13.99
BEAU JARDIN 8 Pack Garden Lighting Solar Path Outdoor Light Glass Lens Full Stainless Steel Made Waterproof Auto On/Off Wireless Sun Powered Landscape for Lawn Patio Yard Driveway 11.9 x 41.9cm,£38.99
"[220 LED] Fairy Lights Mains Powered, 25M 8 Modes Low Voltage Fairy Lights Waterproof with Remote Timer Copper String Lights for Bedroom, Yard, Party, Wedding, Christmas Decorations(Warm White)",£10.21
50 LED Solar Light Outdoor Garden Multi-Colour Solar Teardrop Fairy Tale String Light Waterproof Crystal Raindrop Decoration Light of Tree in The Garden Terrace Yard (29ft/9m) [Energy Class A+++],£14.58
"Solar String Lights Waterproof, 60LED 2 in 1 Solar Garden Lights, 26FT 8 Modes USB Powered Outdoor Fairy Lights for Patio, Gazebo, Party, Wedding Decorations (Multi-Coloured)",£15.99
